"Time","receive - by-dependencies","transmit - by-dependencies"
2024-02-27 07:07:00,23285,-37861
2024-02-27 07:07:30,2646687,-3069920
2024-02-27 07:08:00,8003921,-9411387
2024-02-27 07:08:30,9242438,-11137646
2024-02-27 07:09:00,11606862,-13884336
2024-02-27 07:09:30,13688606,-16535546
2024-02-27 07:10:00,13599894,-16581852
2024-02-27 07:10:30,13455602,-16224458
2024-02-27 07:11:00,15677362,-19096482
2024-02-27 07:11:30,18190072,-22080455
2024-02-27 07:12:00,21373718,-25586838
2024-02-27 07:12:30,22745588,-26751426
2024-02-27 07:13:00,23178950,-27815354
2024-02-27 07:13:30,20202882,-24189876
2024-02-27 07:14:00,27257527,-32737213
2024-02-27 07:14:30,28613452,-34313035
2024-02-27 07:15:00,28135199,-33903782
2024-02-27 07:15:30,26274989,-31394374
2024-02-27 07:16:00,22176845,-27437267
2024-02-27 07:16:30,26298003,-31240085
2024-02-27 07:17:00,27381852,-32860672
