"Time","by-stack"
2023-05-27 15:03:00,3145728
2023-05-27 15:03:30,4190208
2023-05-27 15:04:00,9441280
2023-05-27 15:04:30,33796096
2023-05-27 15:05:00,43757568
2023-05-27 15:05:30,43757568
2023-05-27 15:06:00,86286336
2023-05-27 15:06:30,114679808
2023-05-27 15:07:00,126713856
2023-05-27 15:07:30,126713856
2023-05-27 15:08:00,142540800
2023-05-27 15:08:30,143122432
2023-05-27 15:09:00,164831232
2023-05-27 15:09:30,170643456
2023-05-27 15:10:00,190648320
2023-05-27 15:10:30,191172608
2023-05-27 15:11:00,199122944
2023-05-27 15:11:30,199155712
2023-05-27 15:12:00,209223680
2023-05-27 15:12:30,213438464
2023-05-27 15:13:00,135077888

