"Time","receive - by-stack","transmit - by-stack"
2023-05-27 15:03:00,10227,-16304
2023-05-27 15:03:30,274285,-285056
2023-05-27 15:04:00,5847526,-7396769
2023-05-27 15:04:30,9990318,-12199978
2023-05-27 15:05:00,12059324,-14720847
2023-05-27 15:05:30,12864414,-14977262
2023-05-27 15:06:00,11459603,-14210604
2023-05-27 15:06:30,11747883,-14378563
2023-05-27 15:07:00,10937209,-12598976
2023-05-27 15:07:30,10389217,-12938927
2023-05-27 15:08:00,10078503,-12446600
2023-05-27 15:08:30,6703339,-7661946
2023-05-27 15:09:00,7795163,-9247540
2023-05-27 15:09:30,10271763,-12647600
2023-05-27 15:10:00,8484200,-10630343
2023-05-27 15:10:30,8011139,-10019202
2023-05-27 15:11:00,11476201,-14515062
2023-05-27 15:11:30,3470447,-4736391
2023-05-27 15:12:00,185241,-184998
2023-05-27 15:12:30,1553018,-1929344
2023-05-27 15:13:00,167024,-252009

