"Time","receive - by-stack","transmit - by-stack"
2024-02-27 00:14:30,157271,-170456
2024-02-27 00:15:00,7720870,-9424115
2024-02-27 00:15:30,13266074,-15480939
2024-02-27 00:16:00,11606927,-13784719
2024-02-27 00:16:30,16261792,-19086541
2024-02-27 00:17:00,23846141,-28607259
2024-02-27 00:17:30,22768066,-27066626
2024-02-27 00:18:00,12867396,-15616531
2024-02-27 00:18:30,13875699,-16785287
2024-02-27 00:19:00,14792052,-17909077
2024-02-27 00:19:30,16632765,-19449542
2024-02-27 00:20:00,15790754,-18951236
2024-02-27 00:20:30,14671185,-17162094
2024-02-27 00:21:00,14079501,-16855124
2024-02-27 00:21:30,12361131,-14772242
2024-02-27 00:22:00,12664034,-15227279
2024-02-27 00:22:30,12807163,-15303913
2024-02-27 00:23:00,11994644,-14365512
2024-02-27 00:23:30,11923433,-14337020
2024-02-27 00:24:00,12220988,-14738666
2024-02-27 00:24:30,10739361,-12957294
