"Time","receive - by-dependencies","transmit - by-dependencies"
2024-02-27 01:23:00,84832,-121894
2024-02-27 01:23:30,3702734,-4838611
2024-02-27 01:24:00,10698232,-12858980
2024-02-27 01:24:30,11444068,-13682307
2024-02-27 01:25:00,12542359,-15073941
2024-02-27 01:25:30,12862339,-15142591
2024-02-27 01:26:00,16397255,-19625906
2024-02-27 01:26:30,13613557,-16557396
2024-02-27 01:27:00,17127266,-20490804
2024-02-27 01:27:30,19479002,-23478473
2024-02-27 01:28:00,19784037,-23897995
2024-02-27 01:28:30,23015376,-27652819
2024-02-27 01:29:00,23369650,-27589856
2024-02-27 01:29:30,22323537,-26866838
2024-02-27 01:30:00,24573935,-28951740
2024-02-27 01:30:30,27554671,-32981174
2024-02-27 01:31:00,29159762,-35099845
2024-02-27 01:31:30,28834846,-34742725
2024-02-27 01:32:00,29110932,-34483362
2024-02-27 01:32:30,28502543,-33532679
2024-02-27 01:33:00,21375228,-26188520
