"Time","by-dependencies"
2024-02-27 01:23:00,2231418880
2024-02-27 01:23:30,2417676288
2024-02-27 01:24:00,3287736320
2024-02-27 01:24:30,3730726912
2024-02-27 01:25:00,3904868352
2024-02-27 01:25:30,4065042432
2024-02-27 01:26:00,4180643840
2024-02-27 01:26:30,4335161344
2024-02-27 01:27:00,4416823296
2024-02-27 01:27:30,4443353088
2024-02-27 01:28:00,4471775232
2024-02-27 01:28:30,4506193920
2024-02-27 01:29:00,4573491200
2024-02-27 01:29:30,4631220224
2024-02-27 01:30:00,4615811072
2024-02-27 01:30:30,4635693056
2024-02-27 01:31:00,4650037248
2024-02-27 01:31:30,4657557504
2024-02-27 01:32:00,4645384192
2024-02-27 01:32:30,4649340928
2024-02-27 01:33:00,4666269696
