"Time","receive - by-dependencies","transmit - by-dependencies"
2024-02-27 09:02:00,257212,-533024
2024-02-27 09:02:30,8662026,-10722176
2024-02-27 09:03:00,12909416,-15073578
2024-02-27 09:03:30,10926131,-13154105
2024-02-27 09:04:00,14303434,-17104897
2024-02-27 09:04:30,19540583,-22745539
2024-02-27 09:05:00,15964107,-19146269
2024-02-27 09:05:30,11619233,-13889903
2024-02-27 09:06:00,9663260,-11761016
2024-02-27 09:06:30,8010285,-9582152
2024-02-27 09:07:00,10507918,-12858958
2024-02-27 09:07:30,10858462,-13315400
2024-02-27 09:08:00,8542697,-10210980
2024-02-27 09:08:30,9967241,-11699444
2024-02-27 09:09:00,10428471,-12428465
2024-02-27 09:09:30,9829393,-11629434
2024-02-27 09:10:00,9515061,-11310903
2024-02-27 09:10:30,9913088,-12050175
2024-02-27 09:11:00,11025806,-13304663
2024-02-27 09:11:30,10196761,-12407272
2024-02-27 09:12:00,9643468,-11705864
