"Time","all-in-one"
2024-02-27 01:58:00,2095636480
2024-02-27 01:58:30,2390147072
2024-02-27 01:59:00,3302363136
2024-02-27 01:59:30,3979460608
2024-02-27 02:00:00,4198268928
2024-02-27 02:00:30,4375433216
2024-02-27 02:01:00,4458127360
2024-02-27 02:01:30,4507074560
2024-02-27 02:02:00,4549861376
2024-02-27 02:02:30,4637921280
2024-02-27 02:03:00,4679835648
2024-02-27 02:03:30,4717617152
2024-02-27 02:04:00,4717867008
2024-02-27 02:04:30,4746317824
2024-02-27 02:05:00,4746854400
2024-02-27 02:05:30,4788150272
2024-02-27 02:06:00,4755525632
2024-02-27 02:06:30,4769386496
2024-02-27 02:07:00,4770828288
2024-02-27 02:07:30,4802969600
2024-02-27 02:08:00,4775817216
