"Time","receive - all-in-one","transmit - all-in-one"
2024-02-27 01:58:00,17077,-25902
2024-02-27 01:58:30,1427370,-2072125
2024-02-27 01:59:00,7450677,-9551705
2024-02-27 01:59:30,11470019,-13988091
2024-02-27 02:00:00,13618553,-17300419
2024-02-27 02:00:30,15956611,-20139424
2024-02-27 02:01:00,16334710,-20440524
2024-02-27 02:01:30,21188896,-26460295
2024-02-27 02:02:00,20758356,-25561907
2024-02-27 02:02:30,20258599,-25363140
2024-02-27 02:03:00,18494325,-23437127
2024-02-27 02:03:30,18712892,-23010486
2024-02-27 02:04:00,17626783,-22177147
2024-02-27 02:04:30,17705434,-22156145
2024-02-27 02:05:00,17025069,-21085722
2024-02-27 02:05:30,17940940,-22384101
2024-02-27 02:06:00,16424957,-20434725
2024-02-27 02:06:30,16493411,-20730024
2024-02-27 02:07:00,17354794,-21166002
2024-02-27 02:07:30,16884792,-20831573
2024-02-27 02:08:00,17268066,-21696688
