"workload","scenario","seconds","50%ile(ms)","66%ile(ms)","75%ile(ms)","80%ile(ms)","90%ile(ms)","95%ile(ms)","99%ile(ms)"
4500,"all-in-one",300,91.5,8450,9300,9800,16500,59000,60000
4500,"all-in-one",360,70,8700,11500,12500,39500,52500,54000
4500,"all-in-one",420,5800,7450,8350,9000,47000,53000,54000
4500,"all-in-one",480,2875,7050,7950,8650,49500,55000,56000
4500,"all-in-one",540,5650,7400,8250,8850,48000,52500,53000
4500,"all-in-one",600,98,7250,8150,8800,48000,52500,53500
4500,"benchmark",0,0,0,0,0,0,0,0
4500,"benchmark",60,145,1850,2400,2950,9150,14500,18000
4500,"benchmark",120,645,6150,7100,7950,11350,12500,17000
4500,"benchmark",180,250,13000,14500,15500,20000,27500,31500
4500,"benchmark",240,355,15000,16500,17500,24000,26500,34500
4500,"benchmark",300,1446.5,11500,20500,31500,33500,34000,41000
4500,"benchmark",360,24000,37000,40000,41000,51000,81000,84000
4500,"benchmark",420,16000,21000,24500,31000,56500,57000,70500
4500,"benchmark",480,8650,18500,27500,28500,35000,60000,85500
4500,"benchmark",540,24500,26000,31000,33000,39000,50000,68500
4500,"benchmark",600,9350,16500,18000,41000,48000,92000,99500
4500,"by-dependencies",0,0,0,0,0,0,0,0
4500,"by-dependencies",60,190,3950,4400,4700,5500,5950,6600
4500,"by-dependencies",120,680,4500,5600,6050,10500,12000,13000
4500,"by-dependencies",180,99.5,4950,11500,13500,18000,19500,27500
4500,"by-dependencies",240,86,9100,12000,16000,25000,52500,60000
4500,"by-dependencies",300,54.5,9650,17000,27000,35500,54000,60000
4500,"by-dependencies",360,1150,9900,17500,23500,57500,60000,60000
4500,"by-dependencies",420,251.5,12500,21000,26500,39000,60000,60000
4500,"by-dependencies",480,631,11000,23000,27000,48000,60000,60000
4500,"by-dependencies",540,690,11500,20000,31000,52500,60000,60000
4500,"by-dependencies",600,6400,11500,22500,31000,47000,59000,62500
4500,"by-stack",0,0,0,0,0,0,0,0
4500,"by-stack",60,180,4050,4550,4800,5500,6200,9200
4500,"by-stack",120,1900,2850,4050,4450,6400,7700,9450
4500,"by-stack",180,1200,3550,5650,7800,19000,20500,23500
4500,"by-stack",240,79,11500,13000,13500,17500,51000,60000
4500,"by-stack",300,59.5,11500,12000,13000,16500,52500,60000
4500,"by-stack",360,7750,10500,12000,12500,48500,60000,60000
4500,"by-stack",420,8400,12000,14000,16000,53000,60000,60000
4500,"by-stack",480,11000,17000,18000,18500,50500,60000,60000
4500,"by-stack",540,6950,19000,21500,31500,53500,60000,60000
4500,"by-stack",600,8800,20500,24000,28000,37500,51000,60000
