"Time","receive - by-stack","transmit - by-stack"
2023-05-28 17:34:30,9238,-17419
2023-05-28 17:35:00,12497,-20116
2023-05-28 17:35:30,3645585,-4385354
2023-05-28 17:36:00,9152908,-11145999
2023-05-28 17:36:30,12278406,-14791614
2023-05-28 17:37:00,13514950,-15594125
2023-05-28 17:37:30,13779999,-16689323
2023-05-28 17:38:00,14437491,-17383928
2023-05-28 17:38:30,15120576,-17303195
2023-05-28 17:39:00,15592713,-18878666
2023-05-28 17:39:30,13516996,-16692975
2023-05-28 17:40:00,15686314,-18875910
2023-05-28 17:40:30,15878366,-19192255
2023-05-28 17:41:00,15973096,-19312236
2023-05-28 17:41:30,15819222,-19048558
2023-05-28 17:42:00,16032549,-19278387
2023-05-28 17:42:30,15375246,-18772021
2023-05-28 17:43:00,16405174,-19785457
2023-05-28 17:43:30,14825436,-18150201
2023-05-28 17:44:00,16274961,-19514660
2023-05-28 17:44:30,16311031,-19644849

