sep=,
"Time","by-stack"
2023-04-03 12:21:30,0.0371
2023-04-03 12:22:00,0.130
2023-04-03 12:22:30,1.78
2023-04-03 12:23:00,3.11
2023-04-03 12:23:30,3.07
2023-04-03 12:24:00,2.75
2023-04-03 12:24:30,2.84
2023-04-03 12:25:00,2.95
2023-04-03 12:25:30,2.76
2023-04-03 12:26:00,2.82
2023-04-03 12:26:30,2.85
2023-04-03 12:27:00,2.61
2023-04-03 12:27:30,2.88
2023-04-03 12:28:00,2.34
2023-04-03 12:28:30,2.75
2023-04-03 12:29:00,2.88
2023-04-03 12:29:30,2.85
2023-04-03 12:30:00,2.94
2023-04-03 12:30:30,2.81
2023-04-03 12:31:00,2.86
2023-04-03 12:31:30,2.81
2023-04-03 12:32:00,2.63

