"Time","receive - by-stack","transmit - by-stack"
2024-02-27 05:59:00,4295392,-5569297
2024-02-27 05:59:30,13276927,-15466292
2024-02-27 06:00:00,12665605,-15031452
2024-02-27 06:00:30,13427287,-16082622
2024-02-27 06:01:00,19592767,-23012509
2024-02-27 06:01:30,23277857,-28267522
2024-02-27 06:02:00,17310015,-20698849
2024-02-27 06:02:30,12314892,-15053581
2024-02-27 06:03:00,13869425,-16877992
2024-02-27 06:03:30,14473747,-17418698
2024-02-27 06:04:00,13444490,-16367904
2024-02-27 06:04:30,15485608,-18543711
2024-02-27 06:05:00,16689440,-19462578
2024-02-27 06:05:30,17777341,-20480635
2024-02-27 06:06:00,13731635,-15143139
2024-02-27 06:06:30,13044323,-15195511
2024-02-27 06:07:00,15143702,-18308187
2024-02-27 06:07:30,11364331,-13704459
2024-02-27 06:08:00,13341357,-16149360
2024-02-27 06:08:30,16600996,-18887806
2024-02-27 06:09:00,10013463,-10272292
