"Time","all-in-one"
2023-05-29 16:15:00,1977462784
2023-05-29 16:15:30,1978179584
2023-05-29 16:16:00,2284576768
2023-05-29 16:16:30,2452054016
2023-05-29 16:17:00,2576396288
2023-05-29 16:17:30,2604765184
2023-05-29 16:18:00,2754146304
2023-05-29 16:18:30,2822950912
2023-05-29 16:19:00,2874003456
2023-05-29 16:19:30,2931073024
2023-05-29 16:20:00,2989367296
2023-05-29 16:20:30,3038449664
2023-05-29 16:21:00,3103678464
2023-05-29 16:21:30,3254149120
2023-05-29 16:22:00,3300352000
2023-05-29 16:22:30,3381084160
2023-05-29 16:23:00,3422699520
2023-05-29 16:23:30,3533447168
2023-05-29 16:24:00,3520765952
2023-05-29 16:24:30,3546464256
2023-05-29 16:25:00,4356308992

