"Time","all-in-one"
2023-05-29 16:15:00,0.0416
2023-05-29 16:15:30,0.0424
2023-05-29 16:16:00,2.02
2023-05-29 16:16:30,3.74
2023-05-29 16:17:00,3.61
2023-05-29 16:17:30,3.53
2023-05-29 16:18:00,3.13
2023-05-29 16:18:30,3.68
2023-05-29 16:19:00,3.63
2023-05-29 16:19:30,3.63
2023-05-29 16:20:00,3.64
2023-05-29 16:20:30,3.63
2023-05-29 16:21:00,2.94
2023-05-29 16:21:30,3.26
2023-05-29 16:22:00,3.65
2023-05-29 16:22:30,3.11
2023-05-29 16:23:00,3.66
2023-05-29 16:23:30,3.28
2023-05-29 16:24:00,3.67
2023-05-29 16:24:30,2.86
2023-05-29 16:25:00,3.80

