"Time","receive - all-in-one","transmit - all-in-one"
2023-05-29 16:15:00,10321,-18020
2023-05-29 16:15:30,8446,-13685
2023-05-29 16:16:00,2040888,-2786593
2023-05-29 16:16:30,5131392,-7106111
2023-05-29 16:17:00,9565452,-12250077
2023-05-29 16:17:30,11706242,-14759851
2023-05-29 16:18:00,9983084,-13190969
2023-05-29 16:18:30,10453999,-13298789
2023-05-29 16:19:00,9894246,-12675458
2023-05-29 16:19:30,10107430,-12922050
2023-05-29 16:20:00,9841922,-12615971
2023-05-29 16:20:30,8450126,-11084683
2023-05-29 16:21:00,8663195,-11297208
2023-05-29 16:21:30,8503773,-10892372
2023-05-29 16:22:00,8325123,-10668422
2023-05-29 16:22:30,8040791,-10342309
2023-05-29 16:23:00,7649736,-9803338
2023-05-29 16:23:30,7214376,-9392852
2023-05-29 16:24:00,7488901,-9586300
2023-05-29 16:24:30,7189978,-9220784
2023-05-29 16:25:00,4417879,-5524872

