"Time","receive - by-stack","transmit - by-stack"
2023-05-27 23:20:00,10804,-19555
2023-05-27 23:20:30,2156817,-2591757
2023-05-27 23:21:00,7294763,-9130318
2023-05-27 23:21:30,11333768,-13802590
2023-05-27 23:22:00,13611738,-15693683
2023-05-27 23:22:30,14696816,-17762514
2023-05-27 23:23:00,13176359,-16084813
2023-05-27 23:23:30,15268019,-17800394
2023-05-27 23:24:00,14908399,-18128115
2023-05-27 23:24:30,14693429,-17972347
2023-05-27 23:25:00,15701896,-18913763
2023-05-27 23:25:30,14617117,-17817467
2023-05-27 23:26:00,13686080,-16794451
2023-05-27 23:26:30,14432251,-17332210
2023-05-27 23:27:00,12474972,-15562644
2023-05-27 23:27:30,15845693,-19059689
2023-05-27 23:28:00,15875253,-18755573
2023-05-27 23:28:30,16033660,-19334505
2023-05-27 23:29:00,15985800,-19280941
2023-05-27 23:29:30,15740038,-18970272
2023-05-27 23:30:00,15963424,-19280416

