"workload","scenario","seconds","50%ile(ms)","66%ile(ms)","75%ile(ms)","80%ile(ms)","90%ile(ms)","95%ile(ms)","99%ile(ms)"
4500,"all-in-one",240,185,6400,6950,7400,8800,50500,51500
4500,"all-in-one",300,180,9200,9700,10000,60000,60000,60000
4500,"all-in-one",360,12000,13000,14000,14000,60000,60000,60000
4500,"all-in-one",420,6225,14500,15500,15500,60000,60000,60000
4500,"all-in-one",480,15000,17000,18000,18000,60000,60000,60000
4500,"all-in-one",540,17000,19000,19000,20000,60000,60000,60000
4500,"all-in-one",600,1000,1000,1050,1050,2200,4700,8550
4500,"benchmark",0,0,0,0,0,0,0,0
4500,"benchmark",60,115,3950,4750,5350,10850,12500,15000
4500,"benchmark",120,135,7350,7900,8450,9850,18000,19000
4500,"benchmark",180,125,7250,7900,8300,9700,35000,36500
4500,"benchmark",240,105,8150,8900,9300,11000,57000,58500
4500,"benchmark",300,15500,16500,19500,22000,27000,27000,27500
4500,"benchmark",360,10500,12000,14000,16500,48500,68000,76000
4500,"benchmark",420,24000,26500,28500,41500,59000,65500,76500
4500,"benchmark",480,38000,76000,79500,81000,85500,89500,123500
4500,"benchmark",540,38000,41000,42000,43000,45000,46000,54500
4500,"benchmark",600,28750,41500,47000,47500,60000,60000,61500
4500,"by-dependencies",0,0,0,0,0,0,0,0
4500,"by-dependencies",60,97.5,4650,5000,5200,6050,6700,7200
4500,"by-dependencies",120,125,7000,7600,8050,9300,15500,17000
4500,"by-dependencies",180,115,7100,7750,8100,9600,34000,36000
4500,"by-dependencies",240,100,7050,7700,8100,9800,57000,58500
4500,"by-dependencies",300,5450,8000,11050,15900,27550,35500,53500
4500,"by-dependencies",360,4250,9950,36000,36000,36500,38000,60500
4500,"by-dependencies",420,23450,26500,42000,43000,52500,57000,60000
4500,"by-dependencies",480,1000,24000,38500,47500,53500,55500,61500
4500,"by-dependencies",540,7000,37500,60000,60000,60000,60500,62500
4500,"by-dependencies",600,48000,48000,60000,60000,60000,60000,60000
4500,"by-stack",0,0,0,0,0,0,0,0
4500,"by-stack",60,130,4300,4700,4950,5600,6300,7350
4500,"by-stack",120,210,6100,6600,7000,8800,14000,15000
4500,"by-stack",180,130,6850,7550,7850,9450,34000,35500
4500,"by-stack",240,115,7300,7950,8400,9750,57000,59000
4500,"by-stack",300,1400,3050,3450,7100,7600,11950,14500
4500,"by-stack",360,7800,36500,37500,37500,38000,38500,60500
4500,"by-stack",420,13500,24000,26500,29000,48000,60500,68000
4500,"by-stack",480,1000,3000,3000,7200,20000,59000,78000
4500,"by-stack",540,4550,9100,11000,13000,15000,17500,24500
4500,"by-stack",600,38100,66000,68500,70500,71000,72000,74500
