"Time","receive - by-stack","transmit - by-stack"
2023-05-28 20:33:30,9912,-16999
2023-05-28 20:34:00,60154,-166568
2023-05-28 20:34:30,2743547,-3785722
2023-05-28 20:35:00,10462293,-12729804
2023-05-28 20:35:30,11703804,-13948716
2023-05-28 20:36:00,11519642,-13890182
2023-05-28 20:36:30,13372399,-16278735
2023-05-28 20:37:00,12103608,-14810675
2023-05-28 20:37:30,10279786,-12811757
2023-05-28 20:38:00,11425946,-13984071
2023-05-28 20:38:30,11660652,-14218464
2023-05-28 20:39:00,10137430,-12153147
2023-05-28 20:39:30,8558850,-9970838
2023-05-28 20:40:00,9987179,-11906518
2023-05-28 20:40:30,9567841,-11643668
2023-05-28 20:41:00,9668335,-11658853
2023-05-28 20:41:30,10000872,-12406336
2023-05-28 20:42:00,11774569,-14380511
2023-05-28 20:42:30,7899771,-9031493
2023-05-28 20:43:00,1901553,-1912246
2023-05-28 20:43:30,3947536,-4765912

