"Time","by-stack"
2023-05-28 20:33:30,3928064
2023-05-28 20:34:00,3932160
2023-05-28 20:34:30,13545472
2023-05-28 20:35:00,13635584
2023-05-28 20:35:30,44060672
2023-05-28 20:36:00,50352128
2023-05-28 20:36:30,74530816
2023-05-28 20:37:00,80273408
2023-05-28 20:37:30,116531200
2023-05-28 20:38:00,124436480
2023-05-28 20:38:30,148152320
2023-05-28 20:39:00,162344960
2023-05-28 20:39:30,172085248
2023-05-28 20:40:00,187834368
2023-05-28 20:40:30,196222976
2023-05-28 20:41:00,214962176
2023-05-28 20:41:30,220774400
2023-05-28 20:42:00,246243328
2023-05-28 20:42:30,256262144
2023-05-28 20:43:00,266264576
2023-05-28 20:43:30,179982336

