"Time","by-stack"
2024-01-19 21:08:00,10825728
2024-01-19 21:08:30,12267520
2024-01-19 21:09:00,41394176
2024-01-19 21:09:30,49418240
2024-01-19 21:10:00,50499584
2024-01-19 21:10:30,82309120
2024-01-19 21:11:00,117297152
2024-01-19 21:11:30,144359424
2024-01-19 21:12:00,168476672
2024-01-19 21:12:30,192262144
2024-01-19 21:13:00,196001792
2024-01-19 21:13:30,217051136
2024-01-19 21:14:00,221261824
2024-01-19 21:14:30,255389696
2024-01-19 21:15:00,263778304
2024-01-19 21:15:30,291950592
2024-01-19 21:16:00,301953024
2024-01-19 21:16:30,324317184
2024-01-19 21:17:00,336908288
2024-01-19 21:17:30,359469056
2024-01-19 21:18:00,373665792
