"Time","by-stack"
2024-01-19 21:08:15,3
2024-01-19 21:08:30,3
2024-01-19 21:08:45,3
2024-01-19 21:09:00,3
2024-01-19 21:09:15,6
2024-01-19 21:09:30,6
2024-01-19 21:09:45,6
2024-01-19 21:10:00,6
2024-01-19 21:10:15,6
2024-01-19 21:10:30,6
2024-01-19 21:10:45,6
2024-01-19 21:11:00,7
2024-01-19 21:11:15,7
2024-01-19 21:11:30,8
2024-01-19 21:11:45,8
2024-01-19 21:12:00,8
2024-01-19 21:12:15,8
2024-01-19 21:12:30,8
2024-01-19 21:12:45,8
2024-01-19 21:13:00,8
2024-01-19 21:13:15,8
2024-01-19 21:13:30,8
2024-01-19 21:13:45,8
2024-01-19 21:14:00,8
2024-01-19 21:14:15,8
2024-01-19 21:14:30,8
2024-01-19 21:14:45,8
2024-01-19 21:15:00,8
2024-01-19 21:15:15,8
2024-01-19 21:15:30,8
2024-01-19 21:15:45,8
2024-01-19 21:16:00,8
2024-01-19 21:16:15,8
2024-01-19 21:16:30,8
2024-01-19 21:16:45,7
2024-01-19 21:17:00,7
2024-01-19 21:17:15,7
2024-01-19 21:17:30,7
2024-01-19 21:17:45,7
2024-01-19 21:18:00,7
2024-01-19 21:18:15,7
