"Time","receive - by-stack","transmit - by-stack"
2024-01-19 21:08:00,61654,-73880
2024-01-19 21:08:30,5351881,-6934628
2024-01-19 21:09:00,16085679,-19116930
2024-01-19 21:09:30,14088474,-16577654
2024-01-19 21:10:00,14672651,-17473527
2024-01-19 21:10:30,21467477,-26009462
2024-01-19 21:11:00,27589642,-32397235
2024-01-19 21:11:30,19754862,-23419846
2024-01-19 21:12:00,13128962,-15901812
2024-01-19 21:12:30,15815787,-18943576
2024-01-19 21:13:00,16859041,-20051240
2024-01-19 21:13:30,17522777,-20995363
2024-01-19 21:14:00,17214385,-20594913
2024-01-19 21:14:30,15439848,-18712253
2024-01-19 21:15:00,15751895,-18651129
2024-01-19 21:15:30,17423743,-20433536
2024-01-19 21:16:00,18820649,-22661426
2024-01-19 21:16:30,19361191,-23075695
2024-01-19 21:17:00,20117914,-24053991
2024-01-19 21:17:30,19435657,-23361517
2024-01-19 21:18:00,19845431,-23602092
