"Time","receive - all-in-one","transmit - all-in-one"
2024-01-23 09:30:00,1634794,-1932671
2024-01-23 09:30:30,7248330,-9291903
2024-01-23 09:31:00,6327298,-8073855
2024-01-23 09:31:30,6224496,-7859091
2024-01-23 09:32:00,10396933,-13184492
2024-01-23 09:32:30,11200484,-14142470
2024-01-23 09:33:00,13032436,-16116277
2024-01-23 09:33:30,13102342,-16679558
2024-01-23 09:34:00,13376013,-16943022
2024-01-23 09:34:30,13740135,-16724174
2024-01-23 09:35:00,12631566,-15800891
2024-01-23 09:35:30,12369934,-15391793
2024-01-23 09:36:00,12198725,-15405858
2024-01-23 09:36:30,11337429,-14126828
2024-01-23 09:37:00,10283400,-13049725
2024-01-23 09:37:30,10678811,-13578695
2024-01-23 09:38:00,11801207,-14778533
2024-01-23 09:38:30,12184358,-14844510
2024-01-23 09:39:00,11841997,-14749826
2024-01-23 09:39:30,10959568,-13604570
2024-01-23 09:40:00,9081393,-11577846
