"Time","receive - by-stack","transmit - by-stack"
2023-05-27 13:31:30,11437,-20516
2023-05-27 13:32:00,1462675,-1767124
2023-05-27 13:32:30,5985691,-7703161
2023-05-27 13:33:00,10865482,-13133342
2023-05-27 13:33:30,12864264,-15725109
2023-05-27 13:34:00,13015681,-15945876
2023-05-27 13:34:30,12004757,-14732067
2023-05-27 13:35:00,13354334,-16180560
2023-05-27 13:35:30,13512236,-16530286
2023-05-27 13:36:00,14659665,-17698454
2023-05-27 13:36:30,14875334,-18046790
2023-05-27 13:37:00,14109507,-17102220
2023-05-27 13:37:30,12029285,-14607206
2023-05-27 13:38:00,11625496,-14074054
2023-05-27 13:38:30,11795928,-13800084
2023-05-27 13:39:00,11711173,-14163040
2023-05-27 13:39:30,11158895,-12837719
2023-05-27 13:40:00,10422011,-12910958
2023-05-27 13:40:30,10290283,-12338901
2023-05-27 13:41:00,11253913,-13612487
2023-05-27 13:41:30,9478990,-11874256

