"Time","receive - by-stack","transmit - by-stack"
2023-05-28 11:33:00,9821,-17431
2023-05-28 11:33:30,1374986,-1828959
2023-05-28 11:34:00,6273570,-8216241
2023-05-28 11:34:30,10454750,-12748342
2023-05-28 11:35:00,11704354,-13886100
2023-05-28 11:35:30,12017933,-14671289
2023-05-28 11:36:00,10995573,-13625857
2023-05-28 11:36:30,10847022,-13226694
2023-05-28 11:37:00,10464353,-12435670
2023-05-28 11:37:30,10842759,-12632765
2023-05-28 11:38:00,10569281,-13066809
2023-05-28 11:38:30,8075597,-9164923
2023-05-28 11:39:00,10364016,-12715455
2023-05-28 11:39:30,9216402,-11267544
2023-05-28 11:40:00,11913847,-15391905
2023-05-28 11:40:30,4928727,-5879224
2023-05-28 11:41:00,76478,-73983
2023-05-28 11:41:30,1475976,-2236538
2023-05-28 11:42:00,535103,-1124262
2023-05-28 11:42:30,12659,-19264
2023-05-28 11:43:00,74124,-83395

