"Time","by-stack"
2023-05-28 11:33:00,2011238400
2023-05-28 11:33:30,2282274816
2023-05-28 11:34:00,2524336128
2023-05-28 11:34:30,2619392000
2023-05-28 11:35:00,2728468480
2023-05-28 11:35:30,2791813120
2023-05-28 11:36:00,2848219136
2023-05-28 11:36:30,2906730496
2023-05-28 11:37:00,2952200192
2023-05-28 11:37:30,3042582528
2023-05-28 11:38:00,3042017280
2023-05-28 11:38:30,3254599680
2023-05-28 11:39:00,3310178304
2023-05-28 11:39:30,3720282112
2023-05-28 11:40:00,3973844992
2023-05-28 11:40:30,4025856000
2023-05-28 11:41:00,4014256128
2023-05-28 11:41:30,3975077888
2023-05-28 11:42:00,3986628608
2023-05-28 11:42:30,4037386240
2023-05-28 11:43:00,3353583616

