"Time","receive - by-dependencies","transmit - by-dependencies"
2023-05-29 17:43:30,10940,-19271
2023-05-29 17:44:00,1096849,-1335927
2023-05-29 17:44:30,5136888,-6405711
2023-05-29 17:45:00,9206120,-11137752
2023-05-29 17:45:30,11102679,-13461742
2023-05-29 17:46:00,12226525,-14909573
2023-05-29 17:46:30,11788066,-13850859
2023-05-29 17:47:00,12397190,-15201701
2023-05-29 17:47:30,14812400,-17940226
2023-05-29 17:48:00,15734252,-19076324
2023-05-29 17:48:30,15002295,-18360289
2023-05-29 17:49:00,14354993,-17625727
2023-05-29 17:49:30,16095511,-19453868
2023-05-29 17:50:00,16405399,-19802269
2023-05-29 17:50:30,15634611,-18391636
2023-05-29 17:51:00,16067128,-19438079
2023-05-29 17:51:30,15770110,-18486275
2023-05-29 17:52:00,16050544,-19412222
2023-05-29 17:52:30,14646034,-18026082
2023-05-29 17:53:00,16014573,-19391332
2023-05-29 17:53:30,15018079,-18334081

