"Time","by-dependencies"
2023-05-29 17:43:30,0.0430
2023-05-29 17:44:00,0.894
2023-05-29 17:44:30,2.54
2023-05-29 17:45:00,2.85
2023-05-29 17:45:30,3.24
2023-05-29 17:46:00,3.29
2023-05-29 17:46:30,2.86
2023-05-29 17:47:00,3.36
2023-05-29 17:47:30,3.09
2023-05-29 17:48:00,2.89
2023-05-29 17:48:30,3.01
2023-05-29 17:49:00,2.75
2023-05-29 17:49:30,3.00
2023-05-29 17:50:00,3.09
2023-05-29 17:50:30,3.03
2023-05-29 17:51:00,2.95
2023-05-29 17:51:30,3.12
2023-05-29 17:52:00,3.08
2023-05-29 17:52:30,3.05
2023-05-29 17:53:00,2.74
2023-05-29 17:53:30,2.95

