"Time","receive - by-stack","transmit - by-stack"
2024-01-23 09:41:00,833049,-1242959
2024-01-23 09:41:30,10932613,-14018108
2024-01-23 09:42:00,13573263,-16064156
2024-01-23 09:42:30,12341505,-14065013
2024-01-23 09:43:00,20335115,-24118594
2024-01-23 09:43:30,23476086,-28242503
2024-01-23 09:44:00,15400042,-18635866
2024-01-23 09:44:30,11674705,-13524712
2024-01-23 09:45:00,14376757,-17373626
2024-01-23 09:45:30,15057782,-18148348
2024-01-23 09:46:00,15603441,-18726603
2024-01-23 09:46:30,14380685,-17420858
2024-01-23 09:47:00,14921814,-18014682
2024-01-23 09:47:30,13676329,-16617442
2024-01-23 09:48:00,14156619,-16859937
2024-01-23 09:48:30,11839570,-14113316
2024-01-23 09:49:00,12884360,-15479826
2024-01-23 09:49:30,11200695,-13142983
2024-01-23 09:50:00,4386477,-5148701
2024-01-23 09:50:30,6251792,-7507307
2024-01-23 09:51:00,10912106,-13262054
