"Time","by-stack"
2024-02-27 08:51:00,3
2024-02-27 08:51:15,3
2024-02-27 08:51:30,3
2024-02-27 08:51:45,5
2024-02-27 08:52:00,6
2024-02-27 08:52:15,6
2024-02-27 08:52:30,6
2024-02-27 08:52:45,6
2024-02-27 08:53:00,6
2024-02-27 08:53:15,6
2024-02-27 08:53:30,8
2024-02-27 08:53:45,8
2024-02-27 08:54:00,8
2024-02-27 08:54:15,8
2024-02-27 08:54:30,8
2024-02-27 08:54:45,8
2024-02-27 08:55:00,8
2024-02-27 08:55:15,8
2024-02-27 08:55:30,8
2024-02-27 08:55:45,8
2024-02-27 08:56:00,8
2024-02-27 08:56:15,8
2024-02-27 08:56:30,8
2024-02-27 08:56:45,8
2024-02-27 08:57:00,8
2024-02-27 08:57:15,8
2024-02-27 08:57:30,8
2024-02-27 08:57:45,8
2024-02-27 08:58:00,8
2024-02-27 08:58:15,8
2024-02-27 08:58:30,8
2024-02-27 08:58:45,9
2024-02-27 08:59:00,8
2024-02-27 08:59:15,8
2024-02-27 08:59:30,8
2024-02-27 08:59:45,8
2024-02-27 09:00:00,8
2024-02-27 09:00:15,8
2024-02-27 09:00:30,8
2024-02-27 09:00:45,8
2024-02-27 09:01:00,8
