"Time","receive - by-stack","transmit - by-stack"
2024-02-27 08:51:00,2025422,-2504585
2024-02-27 08:51:30,10032418,-12591034
2024-02-27 08:52:00,12775249,-15118428
2024-02-27 08:52:30,11779867,-14125102
2024-02-27 08:53:00,19321559,-23326064
2024-02-27 08:53:30,24522894,-29687953
2024-02-27 08:54:00,16986858,-20397937
2024-02-27 08:54:30,10005709,-12405220
2024-02-27 08:55:00,13521752,-16354499
2024-02-27 08:55:30,12084583,-14989375
2024-02-27 08:56:00,13386230,-15950448
2024-02-27 08:56:30,14390696,-17242881
2024-02-27 08:57:00,14309602,-17158265
2024-02-27 08:57:30,13837576,-16547069
2024-02-27 08:58:00,13219238,-15537565
2024-02-27 08:58:30,12761880,-15224184
2024-02-27 08:59:00,6804325,-8079513
2024-02-27 08:59:30,5312246,-6211862
2024-02-27 09:00:00,10064342,-11978549
2024-02-27 09:00:30,10578789,-13014822
2024-02-27 09:01:00,7723072,-9349729
